Boss,Physical,Fire,Ice,Lightning,Wind,Quantum,Imaginary
Memory Zone Meme - Shell of Faded Rage,,,,x,,x,x
Ten Stonehearts - Aventurine of Stratagems,x,,x,x,,,
Dreamjolt Troupe's Beyond Overcooked,,x,,x,x,,
Dreamjolt Troupe's Sweet Gorilla,x,x,,,,,x
Memory Zone Meme - Something Unto Death,,x,,,x,,x
Stellaron Hunter - Sam,,,,x,,x,x
Argenti,x,x,x,,,,
Aurumaton Spectral Envoy,x,,,x,,,x
Senior Staff - Team Leader,,x,x,,,,x
The Swarm - True Sting (Complete),,,,,,x,x
The Ascended,x,,x,x,,,
Abundance Sprite - Malefic Ape,,x,x,,x,,
Cloud Knight Lieutenant: Yanqing,,,,x,x,,x
Abundant Ebon Deer,,x,x,,,x,
Stellaron Hunter: Kafka,x,,,,x,,x
Automaton Direwolf,,,x,x,,,x
Automaton Grizzly,,x,x,x,,,
Blaze Out of Space,x,,x,,,x,
Ice Out of Space,,x,,,x,x,
Cocolia,,x,,x,,x,
Bronya,x,x,,,,,x
Gepard,x,,,x,,,x
Guardian Shadow,x,,,,x,x,
Decaying Shadow,,x,,x,x,,
Searing Prowler,,,x,x,,,x
Frigid Prowler,,x,,x,,x,
Svarog,,x,,x,x,,
Silvermane Lieutenant,x,,x,,,x,
Voidranger - Trampler,x,,,,x,,x
Stormbringer,,x,x,,,,x
Disciples of Sanctus Medicus - Shape Shifter,,,x,,x,,x
Aurumaton Gatekeeper,,,,x,x,x,
